state_id,district_id_2001,district_id_shp2001,Households worked (lakhs),Percent rural households worked,Person-days generated (lakhs),Person-days per household worked,Person-days per rural household,Percent SC person-days,Percent ST person-days,Percent female person-days,Average wage
9,41,9.41E+14,0.3,19.83104,7.36,24.53333,4.865215,58,0,41,139.99
9,42,9.42E+14,0.56,13.50771,11.75,20.98214,2.834207,37,0,24,142.48
9,43,9.43E+14,0.61,12.07612,17.88,29.31147,3.53969,32,0,26,139.37
9,44,9.44E+14,0.49,10.31882,11.365,22.525,2.31479,60,0.5,32.5,140.9
9,45,9.45E+14,0.7,9.70859,16.86,24.08572,2.338383,55,1,30,140.07
9,46,9.46E+14,0.77,14.68751,15.47,20.09091,2.950854,30,0,25,141.88
9,47,9.47E+14,0.49,13.39856,10.11,20.63265,2.764478,41,0,21,141.85
9,48,9.48E+14,0.55,16.92126,13.02,23.67273,4.005723,51,0,27,141.72
9,49,9.49E+14,0.34,5.758359,7.16,21.05882,1.212643,32,1,20,139.95
9,50,9.5E+14,0.68,12.18872,16.59,24.39706,2.973689,26,0,26,140.84
9,51,9.51E+14,0.48,13.7727,11.035,21.98424,2.989606,27.5,0.5,26.5,141.305
9,52,9.52E+14,0.47,15.75236,9.58,20.38298,3.2108,18,1,17,141.96
9,53,9.53E+14,0.52,10.31177,13.17,25.32692,2.611655,23,0,17,141.98
9,54,9.54E+14,0.61,17.16081,15.07,24.70492,4.239565,24,0,33,141.81
9,55,9.55E+14,0.7,19.4101,18.06,25.8,5.007805,32,0,29,141.67
9,56,9.56E+14,0.41,17.23261,7.81,19.04878,3.282602,25,0,30,141.74
9,57,9.57E+14,0.69,17.04588,10.75,15.57971,2.655698,23,1,28,139.6
9,58,9.58E+14,0.65,11.71173,16.94,26.06154,3.052258,28,0,28,137.83
